name,kp_scale,kd_scale,task_kp,time_scale,use_task_pid,use_wrist_pid,sim_time,risk_integral,tilt_integral,reach_integral,score
0,0.8,0.8,0.4,0.5,True,True,11.2000,309521.833659,37.357635,1.143812,104178226.416611
1,0.8,0.8,0.4,1.0,True,True,5.6020,154761.578833,19.195647,0.631742,52250344.244890
2,0.8,0.8,0.4,1.5,True,True,3.7340,104693.345559,13.186299,0.461053,35410000.340464
3,0.8,0.8,0.4,2.0,True,True,2.8020,77839.429659,10.181704,0.371402,26443481.551246
4,0.8,0.8,0.6,0.5,True,True,11.2000,306760.210128,39.251064,1.093522,103912738.783828
5,0.8,0.8,0.6,1.0,True,True,5.6020,156748.442802,20.205148,0.604322,53146511.694283
6,0.8,0.8,0.6,1.5,True,True,3.7340,107371.724805,13.835221,0.439960,36406081.366672
7,0.8,0.8,0.6,2.0,True,True,2.8020,77123.992380,10.677211,0.357377,26376099.832177
8,0.8,1.0,0.4,0.5,True,True,11.2000,307125.595838,37.771434,1.168764,103585989.938222
9,0.8,1.0,0.4,1.0,True,True,5.6020,154856.906956,19.576235,0.662206,52396165.576769
10,0.8,1.0,0.4,1.5,True,True,3.7340,104850.206003,13.490923,0.493576,35551697.749160
11,0.8,1.0,0.4,2.0,True,True,2.8020,77382.899530,10.474031,0.402559,26397336.037616
12,0.8,1.0,0.6,0.5,True,True,11.2000,314778.032232,39.696326,1.116699,106453981.856344
13,0.8,1.0,0.6,1.0,True,True,5.6020,159717.923718,20.491524,0.632094,54126045.883252
14,0.8,1.0,0.6,1.5,True,True,3.7340,105743.688316,14.155551,0.469227,36016696.096275
15,0.8,1.0,0.6,2.0,True,True,2.8020,76806.700169,10.984456,0.384928,26375840.697532
16,0.8,1.2,0.4,0.5,True,True,11.2000,307741.371906,38.188916,1.191580,103898248.773558
17,0.8,1.2,0.4,1.0,True,True,5.6020,160642.221136,19.875196,0.694092,54224636.540944
18,0.8,1.2,0.4,1.5,True,True,3.7340,101762.198593,13.792320,0.520327,34718389.699972
19,0.8,1.2,0.4,2.0,True,True,2.8020,74960.304158,10.731500,0.426875,25750229.940985
20,0.8,1.2,0.6,0.5,True,True,11.2000,315621.265751,40.156670,1.145224,106847907.578628
21,0.8,1.2,0.6,1.0,True,True,5.6020,155170.225384,20.889797,0.668563,52884865.309818
22,0.8,1.2,0.6,1.5,True,True,3.7340,103184.536190,14.459036,0.498818,35342954.924915
23,0.8,1.2,0.6,2.0,True,True,2.8020,76027.930158,11.239001,0.411663,26221246.791641
24,1.0,0.8,0.4,0.5,True,True,11.2000,305324.834040,35.911151,1.085840,102479384.014887
25,1.0,0.8,0.4,1.0,True,True,5.6020,155282.007213,18.402060,0.588610,52164083.543194
26,1.0,0.8,0.4,1.5,True,True,3.7340,100247.067850,12.596008,0.424937,33895418.082374
27,1.0,0.8,0.4,2.0,True,True,2.8020,76227.952790,9.703616,0.342084,25813680.134259
28,1.0,0.8,0.6,0.5,True,True,11.2000,312173.790142,37.805438,1.036578,105097430.606058
29,1.0,0.8,0.6,1.0,True,True,5.6020,157064.246802,19.369364,0.563724,52986458.006495
30,1.0,0.8,0.6,1.5,True,True,3.7340,106305.384273,13.231580,0.405862,35901677.101325
31,1.0,0.8,0.6,2.0,True,True,2.8020,78043.163268,10.162836,0.326777,26494478.462587
32,1.0,1.0,0.4,0.5,True,True,11.2000,308360.025629,36.231967,1.107680,103488370.124484
33,1.0,1.0,0.4,1.0,True,True,5.6020,162615.557469,18.665235,0.613971,54445636.950351
34,1.0,1.0,0.4,1.5,True,True,3.7340,111997.936810,12.825127,0.451069,37492027.423055
35,1.0,1.0,0.4,2.0,True,True,2.8020,78647.572234,9.939464,0.364862,26612598.117393
36,1.0,1.0,0.6,0.5,True,True,11.2000,317870.067585,38.147430,1.058348,106911088.479029
37,1.0,1.0,0.6,1.0,True,True,5.6020,159361.245113,19.627133,0.587443,53755260.010659
38,1.0,1.0,0.6,1.5,True,True,3.7340,102863.857263,13.462186,0.430332,34940847.756726
39,1.0,1.0,0.6,2.0,True,True,2.8020,79891.751658,10.404184,0.350951,27123876.841948
40,1.0,1.2,0.4,0.5,True,True,11.2000,312155.007052,36.592437,1.128163,104737054.075134
41,1.0,1.2,0.4,1.0,True,True,5.6020,159592.726834,18.935351,0.640369,53622462.349030
42,1.0,1.2,0.4,1.5,True,True,3.7340,103842.032687,13.090279,0.474581,35127153.120447
43,1.0,1.2,0.4,2.0,True,True,2.8020,76924.218134,10.151892,0.389026,26161736.845568
44,1.0,1.2,0.6,0.5,True,True,11.2000,321859.340490,38.474594,1.073767,108207561.618787
45,1.0,1.2,0.6,1.0,True,True,5.6020,158561.261230,19.943484,0.613953,53612821.111926
46,1.0,1.2,0.6,1.5,True,True,3.7340,108716.670922,13.689913,0.455550,36767531.679798
47,1.0,1.2,0.6,2.0,True,True,2.8020,77296.495960,10.658819,0.374079,26424003.561889
48,1.2,0.8,0.4,0.5,True,True,11.2000,303020.361193,35.000412,1.048767,101511113.201997
49,1.2,0.8,0.4,1.0,True,True,5.6020,161442.546177,17.873794,0.561170,53851021.338651
50,1.2,0.8,0.4,1.5,True,True,3.7340,106343.693489,12.195120,0.399508,35601596.222193
51,1.2,0.8,0.4,2.0,True,True,2.8020,77984.508962,9.366399,0.318564,26237129.938778
52,1.2,0.8,0.6,0.5,True,True,11.2000,316719.639994,36.863042,1.002958,106175104.687655
53,1.2,0.8,0.6,1.0,True,True,5.6020,154110.624070,18.826764,0.537679,51934986.401936
54,1.2,0.8,0.6,1.5,True,True,3.7340,104774.773725,12.821359,0.383050,35317146.428713
55,1.2,0.8,0.6,2.0,True,True,2.8020,77677.024111,9.836486,0.305367,26284590.816079
56,1.2,1.0,0.4,0.5,True,True,11.2000,315621.629200,35.230365,1.063514,105361954.004071
57,1.2,1.0,0.4,1.0,True,True,5.6020,160936.155531,18.069993,0.580803,53759926.991718
58,1.2,1.0,0.4,1.5,True,True,3.7340,106025.907391,12.380257,0.420885,35563939.396971
59,1.2,1.0,0.4,2.0,True,True,2.8020,75421.235238,9.588109,0.340479,25536852.310934
60,1.2,1.0,0.6,0.5,True,True,11.2000,321635.467124,37.096503,1.017268,107721322.486734
61,1.2,1.0,0.6,1.0,True,True,5.6020,160229.143919,19.030387,0.557750,53833636.570424
62,1.2,1.0,0.6,1.5,True,True,3.7340,106633.937650,13.011379,0.403562,35933952.656225
63,1.2,1.0,0.6,2.0,True,True,2.8020,77403.421068,10.019137,0.325673,26259335.709128
64,1.2,1.2,0.4,0.5,True,True,11.2000,319813.946992,35.530462,1.079766,106711303.681370
65,1.2,1.2,0.4,1.0,True,True,5.6020,158673.771166,18.343531,0.601445,53165337.404027
66,1.2,1.2,0.4,1.5,True,True,3.7340,105718.529562,12.602947,0.442250,35540669.304285
67,1.2,1.2,0.4,2.0,True,True,2.8020,77356.343113,9.759205,0.361924,26170857.970108
68,1.2,1.2,0.6,0.5,True,True,11.2000,319330.827320,37.355440,1.032626,107109147.259652
69,1.2,1.2,0.6,1.0,True,True,5.6020,163541.885902,19.250705,0.577644,54895543.864554
70,1.2,1.2,0.6,1.5,True,True,3.7340,106388.882298,13.235457,0.425465,35929849.716698
71,1.2,1.2,0.6,2.0,True,True,2.8020,81286.002015,10.222631,0.345928,27487183.852900
